Hamburg-Altstadt,Germany,2024-06-10,2024-06-11,71%,,15,9,showers,25
Hamburg-Altstadt,Germany,2024-06-10,2024-06-12,56%,,14,8,showers,20
Hamburg-Altstadt,Germany,2024-06-10,2024-06-13,24%,,16,11,cloudy,18
Hamburg-Altstadt,Germany,2024-06-10,2024-06-14,19%,,20,13,cloudy,16
Hamburg-Altstadt,Germany,2024-06-10,2024-06-15,57%,,19,12,showers,20
Hamburg-Altstadt,Germany,2024-06-10,2024-06-16,33%,,20,13,pm_showers,18
Hamburg-Altstadt,Germany,2024-06-10,2024-06-17,52%,,23,14,showers,16
Hamburg-Altstadt,Germany,2024-06-10,2024-06-18,53%,,25,15,scattered_thunderstorms,14
Hamburg-Altstadt,Germany,2024-06-10,2024-06-19,60%,,22,14,showers,14
Hamburg-Altstadt,Germany,2024-06-10,2024-06-20,47%,,20,13,showers,17
Hamburg-Altstadt,Germany,2024-06-10,2024-06-21,52%,,20,12,showers,18
Hamburg-Altstadt,Germany,2024-06-10,2024-06-22,41%,,20,13,showers,19
Hamburg-Altstadt,Germany,2024-06-10,2024-06-23,35%,,21,13,showers,17
Hamburg-Altstadt,Germany,2024-06-10,2024-06-24,39%,,22,14,showers,18
Quartier Saint-Merri,France,2024-06-10,2024-06-11,24%,,18,8,partly_cloudy,12
Quartier Saint-Merri,France,2024-06-10,2024-06-12,8%,,19,9,mostly_cloudy,9
Quartier Saint-Merri,France,2024-06-10,2024-06-13,7%,,22,14,mostly_cloudy,16
Quartier Saint-Merri,France,2024-06-10,2024-06-14,24%,,21,14,cloudy,22
Quartier Saint-Merri,France,2024-06-10,2024-06-15,35%,,20,13,am_showers,24
Quartier Saint-Merri,France,2024-06-10,2024-06-16,57%,,20,15,showers,20
Quartier Saint-Merri,France,2024-06-10,2024-06-17,43%,,21,15,showers,16
Quartier Saint-Merri,France,2024-06-10,2024-06-18,61%,,20,13,showers,16
Quartier Saint-Merri,France,2024-06-10,2024-06-19,38%,,19,12,showers,18
Quartier Saint-Merri,France,2024-06-10,2024-06-20,48%,,19,12,showers,14
Quartier Saint-Merri,France,2024-06-10,2024-06-21,50%,,19,12,showers,15
Quartier Saint-Merri,France,2024-06-10,2024-06-22,24%,,21,13,partly_cloudy,14
Quartier Saint-Merri,France,2024-06-10,2024-06-23,22%,,23,14,partly_cloudy,13
Quartier Saint-Merri,France,2024-06-10,2024-06-24,24%,,24,15,partly_cloudy,13
St James's,United Kingdom,2024-06-10,2024-06-11,24%,England,16,9,cloudy,12
St James's,United Kingdom,2024-06-10,2024-06-12,13%,England,17,8,cloudy,12
St James's,United Kingdom,2024-06-10,2024-06-13,13%,England,17,13,cloudy,24
St James's,United Kingdom,2024-06-10,2024-06-14,42%,England,18,11,showers,26
St James's,United Kingdom,2024-06-10,2024-06-15,56%,England,16,11,showers,26
St James's,United Kingdom,2024-06-10,2024-06-16,47%,England,17,12,showers,23
St James's,United Kingdom,2024-06-10,2024-06-17,38%,England,19,13,showers,20
St James's,United Kingdom,2024-06-10,2024-06-18,60%,England,17,12,showers,18
St James's,United Kingdom,2024-06-10,2024-06-19,36%,England,18,11,showers,19
St James's,United Kingdom,2024-06-10,2024-06-20,41%,England,19,12,showers,17
St James's,United Kingdom,2024-06-10,2024-06-21,24%,England,19,12,partly_cloudy,17
St James's,United Kingdom,2024-06-10,2024-06-22,19%,England,22,13,partly_cloudy,17
St James's,United Kingdom,2024-06-10,2024-06-23,18%,England,23,14,mostly_cloudy,17
St James's,United Kingdom,2024-06-10,2024-06-24,24%,England,21,14,partly_cloudy,17
Monti,Italy,2024-06-10,2024-06-11,5%,Rome,27,18,partly_cloudy,17
Monti,Italy,2024-06-10,2024-06-12,4%,Rome,28,17,sunny,19
Monti,Italy,2024-06-10,2024-06-13,6%,Rome,26,15,partly_cloudy,21
Monti,Italy,2024-06-10,2024-06-14,6%,Rome,28,16,sunny,19
Monti,Italy,2024-06-10,2024-06-15,3%,Rome,29,19,partly_cloudy,17
Monti,Italy,2024-06-10,2024-06-16,7%,Rome,29,18,partly_cloudy,17
Monti,Italy,2024-06-10,2024-06-17,3%,Rome,31,19,sunny,17
Monti,Italy,2024-06-10,2024-06-18,3%,Rome,33,21,sunny,18
Monti,Italy,2024-06-10,2024-06-19,7%,Rome,32,21,partly_cloudy,22
Monti,Italy,2024-06-10,2024-06-20,19%,Rome,29,19,partly_cloudy,20
Monti,Italy,2024-06-10,2024-06-21,17%,Rome,29,18,mostly_sunny,19
Monti,Italy,2024-06-10,2024-06-22,9%,Rome,28,18,mostly_sunny,18
Monti,Italy,2024-06-10,2024-06-23,9%,Rome,29,18,mostly_sunny,17
Monti,Italy,2024-06-10,2024-06-24,11%,Rome,29,19,mostly_sunny,17
Athens,Greece,2024-06-10,2024-06-11,0%,Attica,38,25,sunny,18
Athens,Greece,2024-06-10,2024-06-12,0%,Attica,38,28,mostly_sunny,16
Athens,Greece,2024-06-10,2024-06-13,0%,Attica,40,27,partly_cloudy,19
Athens,Greece,2024-06-10,2024-06-14,1%,Attica,36,22,partly_cloudy,19
Athens,Greece,2024-06-10,2024-06-15,4%,Attica,32,21,sunny,14
Athens,Greece,2024-06-10,2024-06-16,0%,Attica,33,22,sunny,16
Athens,Greece,2024-06-10,2024-06-17,3%,Attica,34,23,sunny,14
Athens,Greece,2024-06-10,2024-06-18,0%,Attica,35,23,mostly_sunny,18
Athens,Greece,2024-06-10,2024-06-19,0%,Attica,35,24,sunny,22
Athens,Greece,2024-06-10,2024-06-20,0%,Attica,35,24,sunny,22
Athens,Greece,2024-06-10,2024-06-21,0%,Attica,36,24,sunny,21
Athens,Greece,2024-06-10,2024-06-22,0%,Attica,36,24,sunny,19
Athens,Greece,2024-06-10,2024-06-23,0%,Attica,35,23,sunny,20
Athens,Greece,2024-06-10,2024-06-24,3%,Attica,34,23,sunny,19
